date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:06	32515/32515	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2004:58:06%20GMT	https://www.ishiikomuten.jp/robots.txt		(from )
13:58:06	38651/38651	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2004:58:06%20GMT	https://www.ishiikomuten.jp/company_info/aisatu/	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/company_info/aisatu/index.html	(from )
13:58:07	1861/1861	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-745%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/8.0.1/normalize.min.css	C:/My%20Web%20Sites/test/cdnjs.cloudflare.com/ajax/libs/normalize/8.0.1/normalize.min.css	(from https://www.ishiikomuten.jp/company_info/aisatu/)
13:58:07	9409/9409	---M--	200	added ('OK')	text/css	etag:%2224c1-6264c747fe613%22	https://www.ishiikomuten.jp/resources/~block-editor/style.css	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/resources/_block-editor/style.css	(from https://www.ishiikomuten.jp/company_info/aisatu/)
13:58:07	315637/315637	---M--	200	added ('OK')	text/css	etag:%224d0f5-62de9f057f5f3%22	https://www.ishiikomuten.jp/css/common.css?250218-01	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/css/common0999.css	(from https://www.ishiikomuten.jp/company_info/aisatu/)
13:58:07	2949/2949	---M--	200	added ('OK')	text/css	etag:%22b85-62de9f061f785%22	https://www.ishiikomuten.jp/css/company_info.css?250218-01	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/css/company_info0999.css	(from https://www.ishiikomuten.jp/company_info/aisatu/)
13:58:08	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2004%20Apr%202025%2004:58:07%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/test/www.googletagmanager.com/gtm.45445.delayed	(from https://www.ishiikomuten.jp/company_info/aisatu/)
13:58:08	275348/275348	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2004%20Apr%202025%2004:58:08%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/test/connect.facebook.net/en_US/fbevents.js	(from https://www.ishiikomuten.jp/company_info/aisatu/)
13:58:08	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/test/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://www.ishiikomuten.jp/company_info/aisatu/)
13:58:09	476780/476780	---M--	200	added ('OK')	image/jpeg	etag:%227466c-626aff6a5d4c2%22	https://www.ishiikomuten.jp/media/images/company_info/aisatu/190207_203841.jpg	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/media/images/company_info/aisatu/190207_203841.jpg	(from https://www.ishiikomuten.jp/company_info/aisatu/)
